"spec","lon","lat"
"prpunc",19.125,-33.875
"prpunc",19.375,-33.875
"prpunc",19.875,-33.875
"prpunc",23.625,-33.875
"prpunc",19.125,-33.625
"prpunc",20.875,-33.625
"prpunc",21.375,-33.625
"prpunc",22.125,-33.625
"prpunc",22.875,-33.625
"prpunc",23.875,-33.625
"prpunc",19.625,-33.375
"prpunc",21.125,-33.375
"prpunc",21.375,-33.375
"prpunc",22.125,-33.375
"prpunc",23.125,-33.375
"prpunc",19.125,-33.125
"prpunc",22.125,-33.125
"prpunc",23.625,-33.125
"prpunc",19.125,-32.875
"prpunc",19.375,-32.875
"prpunc",19.375,-32.625
"prpunc",19.125,-32.375
